epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time,learning_rate,peak_gpu_memory_mb
1,1.492999292310079,0.4388,1.3532953002929689,0.5266,29.275497199967504,0.001,725.259765625
2,1.0561193214416504,0.6221777777777778,0.96067962474823,0.6576,13.857961199944839,0.001,315.93212890625
3,0.8855507592095269,0.6889777777777778,1.057217861366272,0.6508,7.57422239985317,0.001,315.57275390625
4,0.7650484752760993,0.7364666666666667,0.805501713180542,0.7262,6.816856299992651,0.001,315.57275390625
5,0.6785723088900248,0.7674222222222222,0.7217012383937835,0.7598,6.80804490018636,0.001,315.57275390625
6,0.6157587882253859,0.7884,0.597297458076477,0.7866,6.843978200107813,0.001,315.57275390625
7,0.5654879135449727,0.8075555555555556,0.6450609986305237,0.7896,9.571978099877015,0.001,315.57275390625
8,0.5233531411594815,0.8228,0.6985534830093384,0.7704,13.72734300000593,0.001,315.57275390625
9,0.4900809100733863,0.8327111111111111,0.6616933769226074,0.7912,13.580688199959695,0.001,315.57275390625
10,0.45955194007025824,0.8449333333333333,0.5102595649719238,0.8346,13.786018599988893,0.001,315.57275390625
11,0.4330506873978509,0.8541777777777778,0.4515816969871521,0.8468,13.757761399960145,0.001,315.57275390625
12,0.4150141386985779,0.8586444444444444,0.6701628717422485,0.7868,13.712044500047341,0.001,315.57275390625
13,0.3926482974794176,0.8670888888888889,0.48570751552581787,0.841,13.524728199932724,0.001,315.57275390625
14,0.3747347825156318,0.8733555555555556,0.38468307199478147,0.8724,13.64777239994146,0.001,315.57275390625
15,0.35849352950519986,0.8803555555555556,0.3915206787109375,0.874,13.780540300067514,0.001,315.57275390625
16,0.3446412484433916,0.8844666666666666,0.4122887209892273,0.8614,13.740528000053018,0.001,315.57275390625
17,0.32791310239897836,0.8888666666666667,0.45430321865081785,0.8536,13.670031599933282,0.001,315.57275390625
18,0.31091510042614406,0.8942444444444444,0.4048144695281982,0.8644,13.830878700129688,0.0005,315.57275390625
19,0.24129488654666476,0.9179333333333334,0.313182040309906,0.8942,13.778448399854824,0.0005,315.57275390625
20,0.21793054919772678,0.9261333333333334,0.3944873773574829,0.8804,14.058179100044072,0.0005,315.57275390625
21,0.21246777475939857,0.9283333333333333,0.32491597051620486,0.8978,13.959209499880672,0.0005,315.57275390625
22,0.20540201018651327,0.9301777777777778,0.3434904480934143,0.8888,14.10930179990828,0.0005,315.57275390625
23,0.1954785906102922,0.9341555555555555,0.33032598152160647,0.8968,13.900044800015166,0.00025,315.57275390625
24,0.1513870776070489,0.9474888888888889,0.3078322759628296,0.904,13.983007299946621,0.00025,315.57275390625
25,0.1402688517861896,0.9525777777777777,0.3165267345428467,0.9028,13.934720600023866,0.00025,315.57275390625
