epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time,learning_rate,peak_gpu_memory_mb
1,0.49754304085042744,0.8276444444444444,0.46728771777153016,0.8394,59.224966699955985,0.0001,1547.7998046875
2,0.4389182455115848,0.8481111111111111,0.43498092522621157,0.8532,58.97263710014522,0.0001,538.30029296875
3,0.4032946968873342,0.8602444444444445,0.41335749583244324,0.8578,59.63345970003866,0.0001,538.30029296875
4,0.3762012959692213,0.8695777777777778,0.39305152349472045,0.8656,59.18199700000696,0.0001,538.30029296875
5,0.3604019552760654,0.8735333333333334,0.3844191316127777,0.8658,58.34898340003565,0.0001,538.30029296875
