model_name,best_validation_accuracy,test_accuracy,precision,recall,f1_score,total_training_time,average_epoch_time,peak_gpu_memory_mb,inference_images_per_second,trainable_parameters,total_parameters
ViT from scratch,0.7638,0.7536,0.7530045921206271,0.7536,0.7512613383982664,410.56953220046125,13.685651073348708,498.68701171875,788.414669027481,1212490,1212490
Hybrid CNN + MLP,0.904,0.8992,0.9013803349833491,0.8992000000000001,0.8996506833394156,315.2950640995987,13.137294337483278,725.259765625,3656.9878509205287,1160138,1160138
Pretrained ResNet18 transfer learning,0.8658,0.8598,0.8599322429608625,0.8598000000000001,0.8595062026358015,898.703845300246,59.91358968668307,1547.7998046875,372.41581180034945,11181642,11181642
