epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time,learning_rate,peak_gpu_memory_mb
1,1.8258393952263725,0.31695555555555555,1.6477826148986816,0.4078,17.895600900053978,0.00029917828430524096,498.68701171875
2,1.5192043277104696,0.4458666666666667,1.3541164545059203,0.5152,11.078666300047189,0.0002967221401100708,498.666015625
3,1.3760693758434719,0.49955555555555553,1.2960387649536134,0.5308,13.881378300022334,0.00029265847744427303,498.666015625
4,1.2949000587675306,0.5290222222222222,1.1777178596496582,0.5768,12.782003700034693,0.0002870318186463901,498.666015625
5,1.226811829079522,0.5540888888888889,1.1435428020477294,0.592,8.688967800000682,0.0002799038105676658,498.666015625
6,1.1688986485587225,0.5766222222222223,1.0448920988082886,0.6308,12.16311650001444,0.0002713525491562421,498.666015625
7,1.1262051895141603,0.5925111111111111,1.0498835819244385,0.6278,13.780092200031504,0.00026147172382160914,498.666015625
8,1.0752014165030586,0.6130666666666666,0.9817535977363586,0.6544,13.809422799851745,0.00025036959095382875,498.666015625
9,1.0360839802212185,0.6284666666666666,0.9822828039169311,0.6496,13.83369870018214,0.000238167787843871,498.666015625
10,1.0092093163702223,0.6402222222222222,0.9090192534446716,0.681,13.751702800160274,0.00022500000000000002,498.666015625
11,0.9762886531194052,0.6498222222222222,0.9050220310211181,0.6856,14.115175400162116,0.0002110104964613701,498.666015625
12,0.9459603105756972,0.6610444444444444,0.8704758233070373,0.695,14.068993399851024,0.00019635254915624216,498.666015625
13,0.917406557252672,0.6700222222222222,0.8294391489982605,0.7066,14.075120000168681,0.00018118675362266393,498.666015625
14,0.8905255227830675,0.6797111111111112,0.8409513456344605,0.7094,14.070273000048473,0.0001656792694901481,498.666015625
15,0.8736309733496772,0.6904888888888889,0.8200869746208191,0.7116,13.983975799987093,0.0001500000000000001,498.666015625
16,0.8435605907864041,0.7004222222222222,0.8093752274513245,0.7154,13.988279799930751,0.00013432073050985205,498.666015625
17,0.8246400424321493,0.7049555555555556,0.798171268081665,0.7244,13.80309719988145,0.00011881324637733612,498.666015625
18,0.8021858587900798,0.7127333333333333,0.747567174243927,0.739,14.00444330018945,0.00010364745084375793,498.666015625
19,0.7892620241589017,0.7182444444444445,0.7402247990608215,0.7396,14.108271799981594,8.898950353863e-05,498.666015625
20,0.7722980029847887,0.7236888888888889,0.742103833770752,0.743,11.685639000032097,7.500000000000006e-05,498.666015625
21,0.7538837094942729,0.7312444444444445,0.7261658556938171,0.7486,14.861212000017986,6.183221215612908e-05,498.666015625
22,0.735317757458157,0.7354222222222222,0.7070604243278503,0.7576,14.227349099935964,4.963040904617134e-05,498.666015625
23,0.7257347245852153,0.7406666666666667,0.7063219127655029,0.7576,14.13614029996097,3.85282761783909e-05,498.666015625
24,0.7138649344974094,0.7437777777777778,0.7076247654914856,0.7524,14.002893900033087,2.8647450843757918e-05,498.666015625
25,0.70022927014033,0.7525111111111111,0.7210722335815429,0.7542,14.161628199974075,2.0096189432334208e-05,498.666015625
26,0.6955272227393257,0.7531111111111111,0.7043638669967651,0.7592,14.184314499842003,1.2968181353609862e-05,498.666015625
27,0.6895243859714932,0.756,0.7001199363708496,0.7574,13.980664999922737,7.341522555726975e-06,498.666015625
28,0.6803396343337165,0.7584,0.6980996150970459,0.7594,13.915683700004593,3.277859889929149e-06,498.666015625
29,0.6821964620060391,0.7563555555555556,0.6933599558830261,0.7642,13.768807800021023,8.217156947589904e-07,498.666015625
30,0.6760404742876689,0.7587555555555555,0.6912283347129822,0.7638,13.762919000117108,0.0,498.666015625
