patch_size,depth,num_heads,learning_rate,batch_size,best_val_accuracy,best_val_loss,training_time
4,4,4,0.0003,128,0.283203125,1.936538964509964,30.621389099862427
4,6,6,0.0003,128,0.2734375,1.937378078699112,29.70114290015772
8,6,6,0.0003,128,0.2734375,1.943939447402954,32.90314149996266
4,6,6,0.0001,128,0.263671875,1.9594514667987823,22.122233900008723
